"id_execucao";"timestamp";"geracoes";"pop_size";"dist_win";"dist_w";"a";"sr";"initLen";"tam_reservoir";"reg";"fitness";"mae_valida";"rmse_valida";"mae_teste";"rmse_teste";"r2_teste";"tempo_segundos";"delta_anterior_pct";"delta_recorde_pct";"eh_novo_recorde"
"GA_RUN_0001";"2026-08-19 11:12:55";5;10;"GED";"Normal";0.425205;0.493603;52;24;4.82506045009785e-05;-0.237854;0.262736;0.353443;0.328303;0.49864;0.994;3.44;"— (Primeira Execução)";"— (Primeiro Recorde)";TRUE
"GA_RUN_0002";"2026-08-19 11:13:13";5;10;"GED";"Normal";0.575657;0.041787;83;9;8.46733050880626e-05;-0.237837;0.262896;0.353723;0.327803;0.498341;0.994;3.16;"🔴 +0.06% pior que a anterior";"Recorde Atual: 0.2627 (+0.06%)";FALSE
"GA_RUN_0003";"2026-08-19 11:14:55";80;12;"Pearson V";"Normal";0.966339;0.93711;39;9;3.64326005870841e-05;-0.237772;0.263083;0.354107;0.327577;0.498215;0.994;41.03;"🔴 +0.07% pior que a anterior";"Recorde Atual: 0.2627 (+0.13%)";FALSE
"GA_RUN_0004";"2026-08-19 11:15:26";80;12;"t de Student";"Normal";0.417125;0.38988;116;2;1.60901348336595e-05;-0.237757;0.262836;0.353649;0.327809;0.49835;0.994;30.71;"🟢 0.09% melhor que a anterior";"Recorde Atual: 0.2627 (+0.04%)";FALSE
"GA_RUN_0005";"2026-08-19 11:16:00";80;12;"Laplace";"Normal";0.216837;0.244997;117;9;5.774375518591e-05;-0.237741;0.262976;0.354364;0.327289;0.498758;0.994;33.53;"🔴 +0.05% pior que a anterior";"Recorde Atual: 0.2627 (+0.09%)";FALSE
"GA_RUN_0006";"2026-08-19 11:16:31";80;12;"Pearson V";"Uniforme";0.743177;0.144166;59;3;7.78924831702544e-05;-0.237764;0.262876;0.353791;0.327718;0.498275;0.994;30.78;"🟢 0.04% melhor que a anterior";"Recorde Atual: 0.2627 (+0.05%)";FALSE
"GA_RUN_0007";"2026-08-19 11:17:05";80;12;"t de Student";"Uniforme";0.562382;0.845786;44;14;8.48670428571429e-05;-0.237766;0.26327;0.354827;0.329165;0.499718;0.994;34.36;"🔴 +0.15% pior que a anterior";"Recorde Atual: 0.2627 (+0.20%)";FALSE
"GA_RUN_0008";"2026-08-19 11:17:38";80;12;"Laplace";"Uniforme";0.967705;0.613309;11;3;8.02173363992172e-05;-0.237743;0.262733;0.353736;0.327318;0.498067;0.994;32.17;"🟢 0.20% melhor que a anterior";"🏆 NOVO RECORDE GLOBAL! (Superou em 0.00%)";TRUE
"GA_RUN_0009";"2026-08-19 11:18:08";80;12;"Pearson V";"t de Student";0.985199;0.045952;89;4;2.65519743639922e-05;-0.237765;0.26293;0.353941;0.327661;0.498231;0.994;30.67;"🔴 +0.08% pior que a anterior";"Recorde Atual: 0.2627 (+0.08%)";FALSE
"GA_RUN_0010";"2026-08-19 11:18:50";80;12;"t de Student";"t de Student";0.876029;0.849532;74;26;7.73112698630137e-05;-0.237749;0.26322;0.354223;0.328435;0.498846;0.994;41.86;"🔴 +0.11% pior que a anterior";"Recorde Atual: 0.2627 (+0.19%)";FALSE
"GA_RUN_0011";"2026-08-19 11:19:21";80;12;"Laplace";"t de Student";0.11802;0.92945;77;3;7.16928745596869e-05;-0.237751;0.262895;0.353896;0.32772;0.49822;0.994;30.84;"🟢 0.12% melhor que a anterior";"Recorde Atual: 0.2627 (+0.06%)";FALSE
"GA_RUN_0012";"2026-08-19 12:15:39";NA;6;"GED";"Normal";0.095757;0.455242;29;24;1.68650859099804e-05;-0.003195;0.003212;0.004462;0.003257;0.004514;1;2.03;"🟢 98.78% melhor que a anterior";"🏆 NOVO RECORDE GLOBAL! (Superou em 98.78%)";TRUE
"GA_RUN_0013";"2026-08-19 12:16:23";"5 (Cancelado)";6;"GED";"Normal";0.121537;0.877288;89;31;2.07398412915851e-05;-0.005857;0.005867;0.008564;0.005879;0.008565;0.9999;4.17;"🔴 +82.67% pior que a anterior";"Recorde Atual: 0.0032 (+82.67%)";FALSE
"GA_RUN_0014";"2026-08-19 12:17:22";"7 (Cancelado)";10;"GED";"Normal";0.76956;0.962982;70;33;2.26772189823875e-05;-0.237728;0.262843;0.353634;0.328107;0.498559;0.994;8.08;"🔴 +4380.02% pior que a anterior";"Recorde Atual: 0.0032 (+8083.15%)";FALSE
"GA_RUN_0015";"2026-08-19 13:16:54";"10000";10;"Pearson V";"Normal";0.752668;0.905174;60;2;6.64619547945206e-05;-0.23756;0.262479;0.35366;0.32716;0.497662;0.994;3387.92;"🟢 0.14% melhor que a anterior";"Recorde Atual: 0.0032 (+8071.82%)";FALSE
"GA_RUN_0016";"2026-08-19 13:59:43";"10000";10;"t de Student";"Normal";0.483417;0.813277;4;4;6.12310350293542e-05;-0.23758;0.262391;0.353179;0.328731;0.498968;0.994;2568.56;"🟢 0.03% melhor que a anterior";"Recorde Atual: 0.0032 (+8069.09%)";FALSE
"GA_RUN_0017";"2026-08-19 14:48:00";"10000";10;"Laplace";"Normal";0.566502;0.810919;62;32;2.51958099804305e-05;-0.237486;0.262777;0.353951;0.329465;0.501678;0.9939;2897.17;"🔴 +0.15% pior que a anterior";"Recorde Atual: 0.0032 (+8081.09%)";FALSE
"GA_RUN_0018";"2026-08-19 15:09:43";"10000";10;"Pearson V";"Uniforme";0.221155;0.338122;49;3;7.88611720156556e-05;-0.237739;0.262868;0.35378;0.327728;0.498269;0.994;1302.64;"🔴 +0.03% pior que a anterior";"Recorde Atual: 0.0032 (+8083.94%)";FALSE
"GA_RUN_0019";"2026-08-19 16:32:24";"10000";10;"Pearson V";"Normal";0.398463;0.542736;34;4;4.10823070450098e-05;-0.237737;0.262876;0.353813;0.327694;0.498256;0.994;1719.84;"🔴 +0.00% pior que a anterior";"Recorde Atual: 0.0032 (+8084.17%)";FALSE
"GA_RUN_0020";"2026-08-19 17:14:10";"10000";10;"t de Student";"Normal";0.714079;0.191041;63;31;4.2050995890411e-05;-0.237652;0.263102;0.354229;0.32874;0.499512;0.994;2505.42;"🔴 +0.09% pior que a anterior";"Recorde Atual: 0.0032 (+8091.21%)";FALSE
"GA_RUN_0021";"2026-08-19 17:48:56";"10000";10;"Laplace";"Normal";0.778647;0.372416;90;24;9.37789802348337e-05;-0.237636;0.262928;0.354004;0.327881;0.498419;0.994;2086.2;"🟢 0.07% melhor que a anterior";"Recorde Atual: 0.0032 (+8085.79%)";FALSE
"GA_RUN_0022";"2026-08-19 18:10:04";"10000";10;"Pearson V";"Uniforme";0.854964;0.715887;52;4;8.83543227005871e-05;-0.237725;0.262957;0.353898;0.327657;0.498257;0.994;1268.06;"🔴 +0.01% pior que a anterior";"Recorde Atual: 0.0032 (+8086.70%)";FALSE
